"sport","event","date","athlete_id","country_id","bronze","gold","silver"
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",1721,58,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1746,16,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",1749,16,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",1780,137,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",1787,160,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1807,140,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",1832,194,0,0,0
"Track and Field","Men's Discus Throw","2016-01-01",1856,160,0,0,0
"Track and Field","Women's 400 metres","2016-01-01",1943,149,0,0,0
"Track and Field","Men's 100 metres","2016-01-01",1946,137,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",1993,15,0,0,0
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",2008,149,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",2021,15,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",2090,160,0,0,0
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",2119,194,0,0,0
"Track and Field","Women's Marathon","2016-01-01",2135,140,0,0,0
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",2169,125,0,0,0
"Track and Field","Men's 1,500 metres","2016-01-01",2197,194,0,0,0
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",2236,125,0,0,0
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","2016-01-01",2314,173,0,0,0
"Track and Field","Women's 200 metres","2016-01-01",2408,119,0,0,0
"Track and Field","Men's 400 metres Hurdles","2016-01-01",2467,148,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",2537,63,0,0,0
"Track and Field","Women's 400 metres","2016-01-01",2574,156,0,0,0
"Track and Field","Women's Long Jump","2016-01-01",2604,74,0,0,0
"Track and Field","Men's 200 metres","2016-01-01",2663,175,0,0,0
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2683,111,0,0,0
"Track and Field","Men's 400 metres","2016-01-01",2688,138,0,0,0
"Track and Field","Women's 100 metres Hurdles","2016-01-01",2695,195,0,0,1
"Track and Field","Women's 5,000 metres","2016-01-01",2719,38,0,0,0
"Track and Field","Men's Shot Put","2016-01-01",2726,24,0,0,0
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2775,170,0,0,0
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",2779,145,0,0,0
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",2784,13,0,0,0
"Track and Field","Men's 110 metres Hurdles","2016-01-01",2838,195,0,0,0
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",2861,93,0,0,1
"Swimming","Swimming Men's 200 metres Breaststroke","2016-01-01",2900,62,0,0,0
"Track and Field","Men's Marathon","2016-01-01",2943,57,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",2952,50,0,0,0
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",2969,26,0,0,0
"Swimming","Swimming Men's 400 metres Individual Medley","2016-01-01",2969,26,0,0,0
"Swimming","Swimming Men's 200 metres Butterfly","2016-01-01",2976,26,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",3070,178,0,0,0
"Gymnastics","Gymnastics Women's Team All-Around","2016-01-01",3081,71,0,0,0
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",3081,71,0,0,0
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",3081,71,0,0,0
"Track and Field","Men's Triple Jump","2016-01-01",3139,120,0,0,0
"Track and Field","Men's Long Jump","2016-01-01",3221,26,0,0,0
"Gymnastics","Gymnastics Women's Individual All-Around","2016-01-01",3267,141,0,0,0
"Gymnastics","Gymnastics Women's Floor Exercise","2016-01-01",3267,141,0,0,0
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",3267,141,0,0,0
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",3267,141,0,0,0
"Track and Field","Men's 800 metres","2016-01-01",3280,63,0,0,0
"Track and Field","Men's 800 metres","2016-01-01",3284,72,0,0,0
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",3310,63,0,0,0
"Track and Field","Men's High Jump","2016-01-01",3316,113,0,0,0
"Track and Field","Women's High Jump","2016-01-01",3326,134,0,0,0
"Track and Field","Men's Javelin Throw","2016-01-01",3340,178,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",3352,68,0,0,0
"Track and Field","Women's 4 x 400 metres Relay","2016-01-01",3411,14,0,0,0
"Track and Field","Men's 800 metres","2016-01-01",3512,25,0,0,0
"Track and Field","Men's 1,500 metres","2016-01-01",3515,150,0,0,0
"Track and Field","Men's Javelin Throw","2016-01-01",3527,72,0,0,0
"Track and Field","Women's 200 metres","2016-01-01",3528,72,0,0,0
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",3528,72,0,0,0
"Track and Field","Women's 100 metres Hurdles","2016-01-01",3560,134,0,0,0
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",3596,171,0,0,0
"Swimming","Swimming Women's 200 metres Butterfly","2016-01-01",3596,171,0,0,0
"Track and Field","Women's Marathon","2016-01-01",3600,171,0,0,0
"Track and Field","Women's 400 metres Hurdles","2016-01-01",3616,67,0,0,0
"Track and Field","Women's 4 x 400 metres Relay","2016-01-01",3616,67,0,0,0
"Track and Field","Women's Discus Throw","2016-01-01",3620,74,0,0,0
"Track and Field","Men's Hammer Throw","2016-01-01",3640,74,0,0,0
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",3820,195,0,0,0
"Track and Field","Men's 400 metres Hurdles","2016-01-01",4041,35,0,0,0
"Gymnastics","Gymnastics Women's Individual All-Around","2016-01-01",4048,26,0,0,0
"Gymnastics","Gymnastics Women's Team All-Around","2016-01-01",4048,26,0,0,0
"Gymnastics","Gymnastics Women's Floor Exercise","2016-01-01",4048,26,0,0,0
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",4048,26,0,0,0
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",4048,26,0,0,0
"Track and Field","Women's Javelin Throw","2016-01-01",4054,67,0,0,0
"Track and Field","Men's 1,500 metres","2016-01-01",4070,26,0,0,0
"Track and Field","Women's Javelin Throw","2016-01-01",4104,146,0,0,0
"Track and Field","Women's 10,000 metres","2016-01-01",4155,73,0,0,0
"Track and Field","Men's 1,500 metres","2016-01-01",4159,195,0,0,0
"Track and Field","Men's Decathlon","2016-01-01",4171,198,0,0,0
"Swimming","Swimming Women's 200 metres Breaststroke","2016-01-01",4181,152,0,0,0
"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","2016-01-01",4183,152,0,0,0
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",4183,152,0,0,0
"Swimming","Swimming Women's 200 metres Individual Medley","2016-01-01",4183,152,0,0,0
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",4233,152,0,0,0
"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","2016-01-01",4233,152,0,0,0
"Track and Field","Men's 800 metres","2016-01-01",4247,173,0,0,0
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",4248,56,0,0,0
"Track and Field","Women's High Jump","2016-01-01",4310,136,0,0,0
"Swimming","Swimming Men's 100 metres Freestyle","2016-01-01",4379,150,0,0,0
"Swimming","Swimming Men's 100 metres Butterfly","2016-01-01",4379,150,0,0,0
"Track and Field","Women's 400 metres Hurdles","2016-01-01",4407,146,0,0,0
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",4420,67,0,0,0
"Track and Field","Women's Discus Throw","2016-01-01",4523,86,0,0,0
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",4654,94,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",4662,15,0,0,0
"Track and Field","Men's Hammer Throw","2016-01-01",4674,189,0,0,0
"Track and Field","Men's Marathon","2016-01-01",4745,170,0,0,0
"Track and Field","Women's 10,000 metres","2016-01-01",4747,97,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",4776,125,0,0,0
"Track and Field","Women's 1,500 metres","2016-01-01",4776,125,0,0,0
"Track and Field","Men's 50 kilometres Walk","2016-01-01",4782,94,1,0,0
"Track and Field","Men's Javelin Throw","2016-01-01",4787,94,0,0,0
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",4809,149,0,0,0
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",4844,74,0,0,0
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",4848,192,0,0,0
"Track and Field","Men's Decathlon","2016-01-01",4866,26,0,0,0
