"id","gender","age","height","weight"
7226,"M",29,187,74
7246,"M",20,NULL,NULL
7347,"F",29,180,67
7348,"M",33,191,80
7354,"M",25,186,80
7379,"M",22,168,66
7387,"F",29,169,51
7433,"F",21,169,64
7435,"F",22,171,63
7439,"M",30,170,59
7464,"F",20,NULL,NULL
7475,"M",17,167,79
7532,"M",29,201,80
7536,"M",33,175,85
7593,"M",26,180,70
7604,"F",29,167,54
7608,"M",17,184,80
7609,"F",20,172,62
7640,"F",23,171,65
7678,"F",28,184,72
7707,"M",28,195,85
7715,"M",23,201,100
7728,"F",29,163,52
7740,"M",22,187,82
7769,"F",25,151,45
7775,"F",27,168,58
7778,"M",26,177,70
7810,"F",24,174,57
7952,"M",27,178,73
7962,"F",31,163,50
7989,"F",22,178,81
8036,"M",24,183,73
8051,"F",27,171,59
8114,"M",26,175,72
8128,"F",29,166,53
8152,"M",25,178,60
8198,"M",33,190,77
8204,"M",25,190,65
8274,"F",25,170,71
8380,"M",21,185,82
8417,"M",29,181,80
8475,"F",21,NULL,NULL
8526,"M",34,169,61
8606,"M",29,179,72
8661,"M",21,182,74
8668,"F",21,162,56
8709,"M",28,183,72
8712,"M",36,181,73
8750,"M",23,191,74
8751,"M",21,163,60
8764,"F",20,173,58
8767,"M",23,175,71
8771,"M",28,184,91
8775,"F",28,168,54
8785,"F",27,178,58
8803,"F",24,176,68
8877,"F",22,160,43
8878,"F",16,176,61
8945,"M",21,182,64
8979,"F",33,170,60
9048,"M",25,172,NULL
9099,"M",23,175,70
9176,"F",19,184,62
9244,"F",26,169,54
9279,"F",21,170,70
9285,"M",21,181,74
9310,"M",27,194,78
9392,"M",27,163,65
9460,"F",23,168,68
9464,"F",37,191,72
9486,"M",26,162,59
9497,"F",21,174,62
9537,"F",22,157,48
9549,"F",24,173,64
9582,"F",28,169,56
9583,"F",18,165,52
9589,"M",25,175,65
9603,"F",25,175,64
9635,"F",17,156,59
9677,"F",20,178,59
9692,"F",27,163,59
9697,"M",22,185,84
9749,"F",30,158,52
9750,"F",25,170,59
9753,"M",21,178,78
9773,"M",27,185,76
9785,"M",23,185,78
9829,"M",24,165,55
9931,"M",31,175,63
9953,"M",26,191,84
9994,"M",20,187,95
10017,"M",27,189,67
